base_symbol,quote_symbol,markets_count,markets
"1","USDT",3,"CoinEx;Gateio;mexc"
"1","USDC",1,"mexc"
"4","USDT",3,"BitMart;HuobiPro;mexc"
"42","USDT",3,"BitMart;mexc;toobit"
"47","USDT",1,"CoinEx"
"67","USDT",2,"BitMart;mexc"
"365","USD",1,"Yobit"
"365","WAVES",1,"Yobit"
"404","WAVES",1,"Yobit"
"404","DOGE",1,"Yobit"
"404","USD",1,"Yobit"
"888","USDT",1,"mexc"
"MAHA","USDT",3,"ascendex;Gateio;Kucoin"
"MAHA","ETH",1,"Gateio"
"MAHA","BTC",1,"Kucoin"
"HTR","USDT",4,"ascendex;CoinEx;Gateio;Kucoin"
"HTR","BTC",1,"CoinEx"
"NIM","USDT",4,"ascendex;CoinEx;Gateio;Kucoin"
"NIM","BTC",1,"CoinEx"
"NIM","ETH",1,"Kucoin"
"MIM","USDT",1,"ascendex"
"MIM","USD",1,"Bitfinex"
"MIM","BTC",1,"Bitfinex"
"ZEE","USDT",1,"ascendex"
"ZEE","ETH",1,"Gateio"
"SWP","USDT",1,"ascendex"
"PRXY","USDT",1,"ascendex"
"DOGPAD","USDT",1,"ascendex"
"JET","USDT",1,"ascendex"
"DAD","USDT",1,"ascendex"
"DAD","KRW",1,"Coinone"
"DAD","BTC",1,"Upbit"
"BOLT","USDT",1,"ascendex"
"BOLT","BTC",1,"Kucoin"
"BSGG","USDT",1,"ascendex"
"ROWAN","USDT",1,"ascendex"
"USDX","USDT",2,"ascendex;BitMart"
"OXY","USDT",2,"ascendex;Gateio"
"OXY","ETH",1,"Gateio"
"OXY","EUR",1,"Kraken"
"OXY","USD",1,"Kraken"
"POLIS","USDT",4,"ascendex;CoinEx;Gateio;mexc"
"POLIS","EUR",1,"Kraken"
"POLIS","USD",1,"Kraken"
"ZIG","USDT",7,"ascendex;bitget;bybit;CoinEx;Gateio;HuobiPro;LAToken"
"ZIG","EUR",1,"Kraken"
"ZIG","USD",1,"Kraken"
"LOKR","USDT",1,"ascendex"
"REVV","USDT",1,"ascendex"
"REVV","ETH",1,"bilaxy"
"REVV","BTC",1,"Kucoin"
"FRIN","USDT",1,"ascendex"
"AEGIS","USDT",1,"ascendex"
"FTRB","USDT",3,"ascendex;BitMart;Gateio"
"PLOT","USDT",1,"ascendex"
"HARD","USDT",3,"ascendex;Gateio;Kucoin"
"HARD","KRW",1,"Coinone"
"HARD","ETH",1,"Gateio"
"MONI","USDT",3,"ascendex;Gateio;Kucoin"
"SWAP","USDT",4,"ascendex;Gateio;HuobiPro;LAToken"
"SWAP","KRW",1,"Bithumb"
"SWAP","ETH",1,"Gateio"
"SWAP","BTC",1,"Poloniex"
"CNS","USDT",1,"ascendex"
"FLEX","USDT",1,"ascendex"
"NIOX","USDT",1,"ascendex"
"HOPR","USDT",5,"ascendex;CoinEx;Gateio;LAToken;mexc"
"HOPR","DAI",1,"bilaxy"
"HOPR","USD",1,"Coinbase"
"HOPR","ETH",1,"Gateio"
"DIVER","USDT",3,"ascendex;Gateio;LAToken"
"PTF","USDT",1,"ascendex"
"LOKA","USDT",5,"ascendex;bitget;Gateio;HuobiPro;Kucoin"
"LOKA","USD",1,"Coinbase"
"LOKA","ETH",1,"Gateio"
"FRM","USDT",1,"ascendex"
"FRM","ETH",1,"bilaxy"
"FLAME","USDT",2,"ascendex;Kucoin"
"NOVA","USDT",1,"ascendex"
"OMI","USDT",4,"ascendex;BitMart;Gateio;OKEX"
"OMI","ETH",1,"Gateio"
"OMI","USDC",1,"mexc"
"OMI","USD",1,"OKEX"
"WSBABY","USDT",2,"ascendex;Gateio"
"SPX","USDT",3,"ascendex;bybit;Gateio"
"SPX","EUR",3,"bit2me;bitvavo;Kraken"
"SPX","USDC",2,"bybit;mexc"
"SPX","USD",3,"Coinbase;cryptodotcom;Kraken"
"SPX","BRL",1,"MercadoBitcoin"
"P2P","USDT",2,"ascendex;Kucoin"
"OXBT","USDT",1,"ascendex"
"FIN","USDT",1,"ascendex"
"FREL","USDT",1,"ascendex"
"GAU","USDT",1,"ascendex"
"CWS","USDT",3,"ascendex;Gateio;Kucoin"
"CWS","ETH",1,"Gateio"
"NSURE","USDT",1,"ascendex"
"NSURE","ETH",1,"Gateio"
"VERA","USDT",1,"ascendex"
"VERA","ETH",1,"Gateio"
"SYPOOL","USDT",1,"ascendex"
"DEC","USDT",1,"ascendex"
"WAS","USDT",1,"ascendex"
"HGET","USDT",3,"ascendex;Gateio;LAToken"
"HGET","ETH",1,"Gateio"
"HGET","BTC",1,"Poloniex"
"MNFTS","USDT",1,"ascendex"
"DIVI","USDT",1,"ascendex"
"YLD","USDT",1,"ascendex"
"YLD","BTC",1,"BitTrex"
"EDAT","USDT",1,"ascendex"
"TOON","USDT",1,"ascendex"
"OLT","USDT",1,"ascendex"
"OLT","BTC",1,"CoinEx"
"OLT","ETH",1,"Kucoin"
"SNY","USDT",2,"ascendex;Gateio"
"SNY","ETH",1,"Gateio"
"KEX","USDT",2,"ascendex;LAToken"
"KEX","ETH",1,"Gateio"
"BEY","USDT",2,"ascendex;Gateio"
"BEY","ETH",1,"Gateio"
"ASD","USDT",1,"ascendex"
"LTO","USDT",1,"ascendex"
"LTO","USD",1,"binanceusa"
"LTO","EUR",1,"bitvavo"
"LTO","ETH",1,"Gateio"
"GEEQ","USDT",2,"ascendex;Poloniex"
"IDO","USDT",1,"ascendex"
"SMTY","USDT",1,"ascendex"
"SMTY","ETH",1,"Gateio"
"DEGO","USDT",7,"ascendex;Gateio;Kucoin;LAToken;mexc;P2PB2B;Binance"
"DEGO","ETH",1,"mexc"
"ATLAS","USDT",5,"ascendex;CoinEx;Gateio;LAToken;mexc"
"ATLAS","USDC",1,"BitMart"
"ATLAS","USD",1,"Kraken"
"ATLAS","EUR",1,"Kraken"
"CAPS","USDT",3,"ascendex;CoinEx;Gateio"
"CAPS","ETH",1,"bilaxy"
"XDAI","USDT",1,"ascendex"
"TRAXX","USDT",2,"ascendex;BitMart"
"FTT","USD",1,"ascendex"
"FTT","USDT",4,"bitget;bybit;Gateio;Binance"
"FTT","EUR",1,"bitvavo"
"FTT","ETH",1,"Gateio"
"FTT","TRY",1,"Gateio"
"FTT","BTC",1,"HitBTC"
"FTT","USDD",1,"HuobiPro"
"FTT","USDC",1,"mexc"
"CUDOS","USDT",1,"ascendex"
"CUDOS","USD",1,"cryptodotcom"
"CUDOS","BTC",1,"Kucoin"
